net.minecraft.net.minecraft.advancements.criterion.EntityTypeUtil,net.minecraft.net.minecraft.advancements.criterion.EntityTypePredicate
net.minecraft.net.minecraft.block.Block$Builder,net.minecraft.net.minecraft.block.Block$Properties
net.minecraft.net.minecraft.block.BlockIronBars,net.minecraft.net.minecraft.block.BlockPane
net.minecraft.net.minecraft.block.material.MapColor,net.minecraft.net.minecraft.block.material.MaterialColor
net.minecraft.net.minecraft.client.audio.PositionedSound,net.minecraft.net.minecraft.client.audio.AbstractSound
net.minecraft.net.minecraft.client.audio.PositionedSoundRecord,net.minecraft.net.minecraft.client.audio.SimpleSound
net.minecraft.net.minecraft.client.renderer.EntityRenderer,net.minecraft.net.minecraft.client.renderer.GameRenderer
net.minecraft.net.minecraft.client.renderer.RenderGlobal,net.minecraft.net.minecraft.client.renderer.WorldRenderer
net.minecraft.net.minecraft.client.renderer.block.model.BakedQuad,net.minecraft.net.minecraft.client.renderer.model.BakedQuad
net.minecraft.net.minecraft.client.renderer.block.model.BakedQuadRetextured,net.minecraft.net.minecraft.client.renderer.model.BakedQuadRetextured
net.minecraft.net.minecraft.client.renderer.block.model.BlockFaceUV,net.minecraft.net.minecraft.client.renderer.model.BlockFaceUV
net.minecraft.net.minecraft.client.renderer.block.model.BlockPart,net.minecraft.net.minecraft.client.renderer.model.BlockPart
net.minecraft.net.minecraft.client.renderer.block.model.BlockPartFace,net.minecraft.net.minecraft.client.renderer.model.BlockPartFace
net.minecraft.net.minecraft.client.renderer.block.model.BlockPartRotation,net.minecraft.net.minecraft.client.renderer.model.BlockPartRotation
net.minecraft.net.minecraft.client.renderer.block.model.BuiltInModel,net.minecraft.net.minecraft.client.renderer.model.BuiltInModel
net.minecraft.net.minecraft.client.renderer.block.model.FaceBakery,net.minecraft.net.minecraft.client.renderer.model.FaceBakery
net.minecraft.net.minecraft.client.renderer.block.model.IBakedModel,net.minecraft.net.minecraft.client.renderer.model.IBakedModel
net.minecraft.net.minecraft.client.renderer.block.model.IUnbakedModel,net.minecraft.net.minecraft.client.renderer.model.IUnbakedModel
net.minecraft.net.minecraft.client.renderer.block.model.ItemCameraTransforms,net.minecraft.net.minecraft.client.renderer.model.ItemCameraTransforms
net.minecraft.net.minecraft.client.renderer.block.model.ItemModelGenerator,net.minecraft.net.minecraft.client.renderer.model.ItemModelGenerator
net.minecraft.net.minecraft.client.renderer.block.model.ItemOverride,net.minecraft.net.minecraft.client.renderer.model.ItemOverride
net.minecraft.net.minecraft.client.renderer.block.model.ItemOverrideList,net.minecraft.net.minecraft.client.renderer.model.ItemOverrideList
net.minecraft.net.minecraft.client.renderer.block.model.ItemTransformVec3f,net.minecraft.net.minecraft.client.renderer.model.ItemTransformVec3f
net.minecraft.net.minecraft.client.renderer.block.model.ModelBakery,net.minecraft.net.minecraft.client.renderer.model.ModelBakery
net.minecraft.net.minecraft.client.renderer.block.model.ModelBlock,net.minecraft.net.minecraft.client.renderer.model.ModelBlock
net.minecraft.net.minecraft.client.renderer.block.model.ModelBlockDefinition,net.minecraft.net.minecraft.client.renderer.model.ModelBlockDefinition
net.minecraft.net.minecraft.client.renderer.block.model.ModelManager,net.minecraft.net.minecraft.client.renderer.model.ModelManager
net.minecraft.net.minecraft.client.renderer.block.model.ModelResourceLocation,net.minecraft.net.minecraft.client.renderer.model.ModelResourceLocation
net.minecraft.net.minecraft.client.renderer.block.model.ModelRotation,net.minecraft.net.minecraft.client.renderer.model.ModelRotation
net.minecraft.net.minecraft.client.renderer.block.model.MultipartBakedModel,net.minecraft.net.minecraft.client.renderer.model.MultipartBakedModel
net.minecraft.net.minecraft.client.renderer.block.model.SimpleBakedModel,net.minecraft.net.minecraft.client.renderer.model.SimpleBakedModel
net.minecraft.net.minecraft.client.renderer.block.model.Variant,net.minecraft.net.minecraft.client.renderer.model.Variant
net.minecraft.net.minecraft.client.renderer.block.model.VariantList,net.minecraft.net.minecraft.client.renderer.model.VariantList
net.minecraft.net.minecraft.client.renderer.block.model.WeightedBakedModel,net.minecraft.net.minecraft.client.renderer.model.WeightedBakedModel
net.minecraft.net.minecraft.client.renderer.block.model.multipart.ConditionAnd,net.minecraft.net.minecraft.client.renderer.model.multipart.AndCondition
net.minecraft.net.minecraft.client.renderer.block.model.multipart.ConditionOr,net.minecraft.net.minecraft.client.renderer.model.multipart.OrCondition
net.minecraft.net.minecraft.client.renderer.block.model.multipart.ConditionPropertyValue,net.minecraft.net.minecraft.client.renderer.model.multipart.PropertyValueCondition
net.minecraft.net.minecraft.client.renderer.block.model.multipart.ICondition,net.minecraft.net.minecraft.client.renderer.model.multipart.ICondition
net.minecraft.net.minecraft.client.renderer.block.model.multipart.Multipart,net.minecraft.net.minecraft.client.renderer.model.multipart.Multipart
net.minecraft.net.minecraft.client.renderer.block.model.multipart.Selector,net.minecraft.net.minecraft.client.renderer.model.multipart.Selector
net.minecraft.net.minecraft.item.Item$Builder,net.minecraft.net.minecraft.item.Item$Properties
net.minecraft.net.minecraft.network.play.server.SPacketUpdateRecipesPacket,net.minecraft.net.minecraft.network.play.server.SPacketUpdateRecipes
net.minecraft.net.minecraft.scoreboard.IScoreCriteria,net.minecraft.net.minecraft.scoreboard.ScoreCriteria
net.minecraft.net.minecraft.scoreboard.IScoreCriteria$EnumRenderType,net.minecraft.net.minecraft.scoreboard.ScoreCriteria$RenderType
net.minecraft.net.minecraft.server.network.NetHandlerHandshakeTCP,net.minecraft.net.minecraft.network.NetHandlerHandshakeTCP
net.minecraft.net.minecraft.server.network.NetHandlerLoginServer,net.minecraft.net.minecraft.network.NetHandlerLoginServer
net.minecraft.net.minecraft.server.network.NetHandlerStatusServer,net.minecraft.net.minecraft.network.NetHandlerStatusServer
net.minecraft.net.minecraft.stats.StatBase,net.minecraft.net.minecraft.stats.Stat
net.minecraft.net.minecraft.util.math.shapes.ShapeUtils,net.minecraft.net.minecraft.util.math.shapes.VoxelShapes
net.minecraft.net.minecraft.world.ChunkCache,net.minecraft.net.minecraft.world.Region
net.minecraft.net.minecraft.world.ColorizerFoliage,net.minecraft.net.minecraft.world.FoliageColors
net.minecraft.net.minecraft.world.ColorizerGrass,net.minecraft.net.minecraft.world.GrassColors
net.minecraft.net.minecraft.world.biome.BiomeColorHelper,net.minecraft.net.minecraft.world.biome.BiomeColors
net.minecraft.net.minecraft.world.gen.feature.GlowStoneFeature,net.minecraft.net.minecraft.world.gen.feature.GlowstoneFeature
